winning_img_merchant,contactid,asin,is_index_suppressed,has_leaf_node,has_keywords,bullet_point_count,qty_website_images,has_description,idq_grade,reporting_country
995545110,0031R00002D1ierQAB,B07ZHH79NY,0,1,1,0,7,0,D,SG
1.90956E+11,0033g000007fQihAAE,B08FTKC1RR,0,0,1,9,8,1,B,SG
1.27532E+11,0033g00000VQKxnAAH,B09B8185HZ,0,1,1,5,9,0,B,SG
2.53668E+11,0033g00000DB8C8AAL,B09Q1CGG7Y,0,1,0,0,1,1,E,SG
1.9312E+11,0033g000007w645AAA,B08FGDMLXR,0,0,1,5,7,1,B,SG
1.27522E+11,0031R00002AiZ5WQAV,B0927X87X3,0,1,1,0,6,1,B,SG
70426955102,0031R00001uN6UqQAK,B099X13JM7,0,1,1,5,8,0,B,SG
2.73372E+11,0033g00000FA8ttAAD,B08NWFFTBD,0,1,1,5,3,1,F,SG
61090433302,0033600001pmgW6AAI,B08KDKWTKF,0,1,1,5,1,1,B,SG
1.6248E+11,0033g00000DihMyAAJ,B08Y76JRWQ,0,0,1,5,7,1,B,MY
1.53174E+11,0031R00002Fi5XZQAZ,B091SJRL7K,0,0,1,4,3,1,B,SG
1.80477E+11,0033g000005VpVEAA0,B08CR79FGV,1,0,0,0,8,0,F,PH
2.77799E+11,0033g00000Fo8K3AAJ,B08QTTVGDW,0,0,1,5,6,1,B,MY
1.80347E+11,0033g000005Vje1AAC,B09LYVFRT7,0,0,1,5,7,1,B,MY
66498828902,0031R000028MzhrQAC,B0822YPLC9,0,1,1,0,5,0,C,MY
4.0198E+11,0033g00000zqw3vAAA,B09MDM571N,0,1,1,10,5,0,B,SG
2.43207E+11,0033g00000Ceee7AAB,B08KD7S6C4,1,1,1,5,7,1,F,SG
77188992402,0031R00001w1kWBQAY,B09J26S5QC,0,1,1,5,4,0,B,MY
58684337502,0033g00000Di3TFAAZ,B08K4WC1RW,0,0,1,5,8,1,B,PH
3.92294E+11,0033g00000xeOmMAAU,B09R6YV58T,0,1,1,0,7,0,C,MY
62212308502,0033600001qkcjtAAA,B07J51Q4SV,0,1,1,5,6,0,B,SG
3.92294E+11,0033g00000xeOmMAAU,B09R6L16R6,0,1,0,0,7,0,E,MY
1.6248E+11,0033g00000DihMyAAJ,B08Y76KZNR,0,0,1,5,7,1,B,MY
2.0174E+11,0033g0000087tJbAAI,B0974CPJSM,0,1,1,5,1,1,B,SG
2.43207E+11,0033g00000Ceee7AAB,B08L9MH5XL,0,0,1,5,4,1,B,SG
4.325E+11,0033g000015Ob9VAAS,B09S4NSPXL,0,1,0,5,2,1,B,ID
1.90956E+11,0033g000007fQihAAE,B08GFSM4VX,0,0,1,8,9,1,C,SG
1.53071E+11,0031R00002FhxdGQAR,B084V96J19,0,0,1,4,5,1,C,SG
70426955102,0031R00001uN6UqQAK,B08CT2BVMG,1,1,1,5,9,1,F,SG
2.98487E+11,0033g00000MoVORAA3,B09Q2DMKKV,0,1,0,4,6,1,B,MY
2.36731E+11,0033g000009msXzAAI,B093YFZC89,0,1,1,6,5,0,B,PH
82744094502,0031R00001x6KIaQAM,B08C2RNP23,0,0,1,5,8,0,B,ID
2.77799E+11,0033g00000Fo8K3AAJ,B092MH6HGH,0,0,1,5,7,1,B,MY
1.80354E+11,0033g000005VjcgAAC,B09M3R7WM8,1,1,1,8,6,1,F,MY
2.36731E+11,0033g000009msXzAAI,B08XTB44RW,0,1,1,7,7,0,B,PH
19967717002,0031R00002AhvYmQAJ,B09LSQ5B8W,0,1,0,0,7,1,B,SG
995545110,0031R00002D1ierQAB,B07ZHHZZT8,0,1,1,0,9,0,D,SG
27953743702,0033600001c6Ax1AAE,B07D8RDDZ6,0,1,1,0,7,1,F,PH
78392831802,0031R00001x5MKhQAM,B07MJVMZYD,1,1,1,5,6,1,F,SG
2.43916E+11,0033g00000CfM5UAAV,B08MYCWRC3,1,1,0,0,8,0,F,SG
28788912415,0031R000026i166QAA,B07TK2ZNG7,0,1,1,1,1,1,B,SG
2.36731E+11,0033g000009msXzAAI,B093HH6ZMP,0,1,1,0,7,1,B,PH
4.00497E+11,0033g00000zpUp5AAE,B09NZ6V682,0,1,0,5,1,1,C,PH
4.04121E+11,0033g00000zsyVHAAY,B09R837ZGM,1,1,1,5,4,1,F,ID
3.76831E+11,0033g00000ufoyuAAA,B09MVWKMK7,0,0,1,5,5,1,B,ID
1.32353E+11,0031R00002BZbdvQAD,B0824SCPXH,0,1,1,5,5,0,B,KH
11654685415,0033g000008YdMfAAK,B095BRD8QX,0,0,1,5,8,1,B,MY
49621131202,0033600001hoEx1AAE,B07FR268WM,0,0,1,5,9,1,B,SG
